schoolcampus,dbn,bldg_code
PS 123(MN),05M123,M123
PS 124 YUNG WING(MS),02M124,M124
PS 126 JACOB AUGUST RIIS(MS),02M126,M126
PS 128 AUDUBON(MN),06M128,M128
PS 129(MN),05M129,M129
PS 130 HERNANDO DESOTO(MS),02M130,M130
MS 131(MS),02M131,M131
PS 132(MN),06M132,M132
PS 133(MN),05M133,M133
PS 134 HENRIETTA SZOLD(MS),01M134,M134
STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HS(MS),02M139,M625
PS 140 NATHAN STRAUS(MS),01M140,M140
PS 142 AMALIA CASTRO(MS),01M142,M142
IS 143(MN),06M143,M143
PS 145(MN),03M145,M145
PS 146(MN),04M146,M146
EAGLE ACADEMY FOR YOUNG MEN OF HARLEM(MN),05M148,M136
PS 149(MN),03M149,M207
PS 150(MANHATTAN),02M150,M840
YORKVILLE COMMUNITY SCHOOL (MANHATTAN),02M151,M066
PS 152(MANHATTAN),06M152,M152
PS 153(MANHATTAN),06M153,M153
PS 154(MANHATTAN),85M154,M154
PS 155(MANHATTAN),04M155,M155
THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE(MN),05M157,M501
PS 158(MANHATTAN),02M158,M158
PS 161(MANHATTAN),85M161,M161
P162(MN),75M162,M149
PS 163(MANHATTAN),03M163,M163
PS 165(MANHATTAN),03M165,M165
PS 166(MANHATTAN),03M166,M166
IS/JHS 167(MN),02M167,M167
P169(MN),75M169,M169
SUCCESS ACADEMY CHARTER SCHOOL - MANHATTAN 2- HELL'S KITCHEN(MS),84M170,M625
PS 171(MANHATTAN),04M171,M171
PS 173(MANHATTAN),06M173,M173
SUCCESS ACADEMY CHARTER SCHOOL - MANHATTAN 1 - UNION SQUARE(MS),84M174,M460
PS 175(MANHATTAN),05M175,M175
YORKVILLE EAST MIDDLE SCHOOL(MN),02M177,M158
PS 178(MANHATTAN),06M178,M178
PS 180(MANHATTAN),85M180,M180
THE BILINGUAL BICULTURAL SCHOOL PS 182(MN),04M182,M083
PS 183(MANHATTAN),02M183,M183
PS 184-SHUANG WEN(MANHATTAN),01M184,M137
PS 185(MANHATTAN),03M185,M185
PS 187(MANHATTAN),06M187,M187
PS 188 THE ISLAND SCHOOL(MANHATTAN),01M188,M188
PS 189(MANHATTAN),06M189,M189
PS 191M,03M191,M342
PS 192 (MANHATTAN),06M192,M192
PS 194 COUNTEE CULLEN(MN),05M194,M194
PS 197(MANHATTAN),05M197,M197
PS 198(MANHATTAN),02M198,M198
PS 199(MANHATTAN),03M199,M199
PS 200(MANHATTAN),05M200,M200
PS 206(MANHATTAN),04M206,M206
PS 208(MANHATTAN),03M208,M208
PS/IS 210 21ST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP(MANHATTAN),06M210,M093
PS/IS 217 ROOSEVELT ISLAND(MN),02M217,M271
IS 218(MN),06M218,M218
SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 3(MN),84M385,M099
ELLA BAKER SCHOOL PS 225(MN),02M225,M480
PS 234(MANHATTAN),02M234,M234
STEM INSTITUTE OF MANHATTAN(MN),03M241,M113
PS 242 (MANHATTAN),03M242,M144
MS 255 SALK SCHOOL OF SCIENCE(MS),02M255,M040
IS/JHS 256(MN),03M256,M118
BATTERY PARK CITY SCHOOL(MS),02M276,M276
PAUL HEDBAVNY SCHOOL PS/IS 278(MN),06M278,M918
THE OPPORTUNITY CHARTER SCHOOL(MN),84M279,M113
MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING(MS),02M280,M520
THE RIVER SCHOOL(MS),02M281,M281
URBAN ASSEMBLY MAKER ACADEMY(MS),02M282,M520
HARLEM RENAISSANCE HS(MN),79M285,M911
FOOD & FINANCE HS(MS),02M288,M535
IS 289(MS),02M289,M089
PS 290(MANHATTAN),02M290,M190
WEST END SECONDARY SCHOOL,03M291,M837
ORCHARD COLLEGIATE ACADEMY,01M292,M056
CITY COLLEGE ACADEMY OF THE ARTS(MN),06M293,M218
ESSEX STREET ACADEMY(MS),02M294,M445
SEWARD PARK GED(MANHATTAN),71M446,M445
SEWARD PARK HS(MANHATTAN),02M445,M445
MS 297M@PS/IS 323M,02M297,M323
PACE HS(MS),02M298,M131
HS FOR ARTS IMAGINATION & INQUIRY(MN),03M299,M490
THE URBAN ASSEMBLY SCHOOL OF DESIGN & CONSTRUCTION(MANHATTAN),02M300,M535
"TECHNOLOGY,ARTS,AND SCIENCES STUDIO(MANHATTAN)",01M301,M019
KAPPA IV(MN),05M302,M136
THE FACING HISTORY SCHOOL(MANHATTAN),02M303,M535
MOTT HALL HS(MN),05M304,M136
THE URBAN ASSEMBLY ACADEMY OF GOVERNMENT & LAW(MANHATTAN),02M305,M445
THE URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES(MLK EDUCATIONAL CAMPUS),03M307,M490
LOWER MANHATTAN ARTS ACADEMY(MS),02M308,M445
THE JAMES BALDWIN SCHOOL:A SCHOOL FOR EXPEDITIONARY LEARNING(MANHATTAN),02M313,M440
THE URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN(MS),02M316,M282
THURGOOD MARSHALL ACADEMY LOWER SCHOOL(MANHATTAN),05M318,M371
MS 319 MARIA TERESA(MN),06M319,M090
MIDDLE SCHOOL 322(MN),06M322,M218
MS 324 PATRIA(MN),06M324,M090
MS 328 MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY(MN),06M328,M164
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL(MANHATTAN),01M332,M056
PS 333 MANHATTAN SCHOOL FOR CHILDREN(MANHATTAN),03M333,M118
THE ANDERSON SCHOOL(MN),03M334,M044
HARLEM VILLAGE ACADEMIES LEADERSHIP CHARTER SCHOOL(MN),84M335,M045
KIPP INFINITY CHARTER SCHOOL(MN),84M336,M195
PS 343 - THE PECK SLIP SCHOOL,02M343,M343
COMMUNITY HEALTH ACADEMY OF THE HEIGHTS(MN),06M346,M814
WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL(MANHATTAN),06M348,M143
HARBOR HEIGHTS MIDDLE SCHOOL(MN),06M349,M173
SUCCESS ACADEMY HARLEM CENTRAL(MN),05M357,M389
BROWNSVILLE ACADEMY HS(BN),17K568,K907
WASHINGTON HEIGHTS ACADEMY (MANHATTAN),06M366,M263
HAMILTON HEIGHTS SCHOOL (MN),06M368,M153
